UUID,JO Service Item ,Variant Info
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one morning call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one o'clock call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one st wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one wakeup needed
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one wakeup ring
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one-st wakeup call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,phone call to wake at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,place wakeup call at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,room needs wake up call at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,schedule 1st call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,schedule first call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,schedule one AM call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,schedule wake up at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,schedule wake up at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,set alarm for
c50f0e74-00bb-4156-a781-f0dbab3a2008,,set first wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,set my wakeup for
c50f0e74-00bb-4156-a781-f0dbab3a2008,,to be woken at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,to be woken first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,VIP来电走1st WUC三次规则
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake call one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me 1st
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me at one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me before others
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me early
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me first thing
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me up first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake me up first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up call ed
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up call number one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up for one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake up ring at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake-up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup 1st
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup alert one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake-up at one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake-up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake-up call 1
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup call at one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wake-up call for
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup call one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup first call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup number
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup required at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup service for
c50f0e74-00bb-4156-a781-f0dbab3a2008,,wakeup time one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,week out call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,week-out call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,WUC1手动三次规则
c50f0e74-00bb-4156-a781-f0dbab3a2008,,WUC流程第一步限制
c50f0e74-00bb-4156-a781-f0dbab3a2008,,WUC首次手动通话3次限制
c50f0e74-00bb-4156-a781-f0dbab3a2008,,WUC首通最多3次未接转DM
c50f0e74-00bb-4156-a781-f0dbab3a2008,,一级WUC三次尝试
c50f0e74-00bb-4156-a781-f0dbab3a2008,,前台使用1st WUC呼叫客房
c50f0e74-00bb-4156-a781-f0dbab3a2008,,客人投诉按1st WUC流程处理
c50f0e74-00bb-4156-a781-f0dbab3a2008,,第一WUC手动拨打最多3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,第一次WUC通话最多3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,紧急情况跳过1st WUC限制
c50f0e74-00bb-4156-a781-f0dbab3a2008,,首个WUC手动通话限3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,首次联络三次上限
c50f0e74-00bb-4156-a781-f0dbab3a2008,,首轮WUC三次呼叫
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,2nd Floor Guest Lift Lobby to Clean,
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,  gas left lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,  gas lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,  gass lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,  gass lift lobi
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,, 2nd floor lift arerequires cleaning
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,, 2nd Floor Lift Lobby to Clean
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,, 2nd floor lobby near lift needs cleaning
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,arearound elevator
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,attend lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,central lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor elevator lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor leaf lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor left lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd floor love lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd level lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean 2nd lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean all lift lobbies
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean elevator lobby on second floor side
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean elevator lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean elevator zone
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean floor 2 lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean floor lift lobby 2
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean floor number 2 lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean floor two lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean guess list lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean left lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"clean lift area, floor 2"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift aresecond floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift floor two lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift level 2
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby 2nd floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby for on 2nd
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby on 2nd floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby on 2nd floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"clean lift lobby, second floor, area"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift on second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lift zone for traffic
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean list lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lobby at second floor lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lobby lift aresecond
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean lobby lift second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"clean lobby next to lift, second floor"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean near elevator
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean near elevator
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second elevator lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor gift lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor guess lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor left lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor let lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor lift area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor lip lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second floor live lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second lift area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean second lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean space around lift for B13599
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean surroundings of lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean the arenear lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean the lift lobby second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean to floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean two and floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean two floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean two-floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,clean up second floor lift section
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"cleaning lift, 2nd floor"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"cleaning required lift lobby, level 2"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,cleanup required at lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,common areat lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,common lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,corridor to lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,daily clean lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,deep clean lift access
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator access for
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator hall
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator lobby for
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator lobby needs cleaning
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,elevator zone cleaning second level
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,entrance lobby for 
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,entry lift area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,general cleaning lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,guess leaf lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,guess lift blob B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,guess lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hall near elevator
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hallway lift lobby for 
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hallway near lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hallway near lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hotel elevator lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hotel lift area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hotel lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,hotel lift waiting lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,late lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lead lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,leaf lobbey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,leaf lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,left lobbey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,left lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,level elevator zone
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lick lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,liff lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift access lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift are for
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift entrance lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift foyer for guests
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift hall B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift hobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift labby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lob B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobbey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobby clean second floor
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobby cleanup
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobby on second level needs attention
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobi
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lobley
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift loby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift logbie
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift loggy
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift long B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lopy
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lovey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift low B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lower B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift lubby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift passage zone
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift platform lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift robby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift section for guest
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift station for guest
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift waiting area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift zone
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lift zone near rooms
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,light lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lip lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lip low B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,list lob B
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,list lobbey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,list lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lit lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,live lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby arewith lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby at elevators
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby at lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby connecting to lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby entrance for lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby for elevator
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby lift entrance
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby near lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby near lift on floor two needs cleaning
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby outside lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,lobby space at lift
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,loft lobbey
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,loft lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,loof lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,main lift lobby for guest
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,mop 2nd floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,public lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,room access lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,second floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,second floor lift lobby dirty
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,second floor lift lobby to be cleaned
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,second level lift lobby dirty
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,spot clean lift zone
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,tidy 2nd floor lift lobby
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"tidy elevator lobby, second floor"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,tidy lift area
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,"to clean elevator area, floor 2"
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二搂宾客电梯大堂待清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼VIP电梯区域保洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼主电梯区域卫生
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼客梯大堂需要打扫
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼宾客电梯大堂待清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼宾客电梯大堂要打扫
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼宾客电梯大堂需清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼宾客电梯间待清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯前室要打扫
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯区域需要保洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯厅待清理
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯口清洁需求
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯等候区清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯间卫生处理
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼电梯间需要清洁服务
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼贵宾电梯大堂清洁
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼迎宾电梯大堂待处理
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,二楼那个电梯大堂脏了
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,宾客电梯大堂待清理
85a44ad1-38e5-4005-bf61-2f827ad9d3fd,,请打扫二楼电梯等候区
52f9f847-6502-49f4-8a14-9c5128dfebb1,2nd Follow-up Wake Up Call,
52f9f847-6502-49f4-8a14-9c5128dfebb1,,  second wake-up
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd alert to wake up
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd call for wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd Follow-up Wake Up Call
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd morning call
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd wakeup call
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd wake-up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,, 2nd wakeup ring
52f9f847-6502-49f4-8a14-9c5128dfebb1,, AM alert
52f9f847-6502-49f4-8a14-9c5128dfebb1,, extr wakeup call at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,additional wake-up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,alert me again at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,another call at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,another call to wake up
52f9f847-6502-49f4-8a14-9c5128dfebb1,,another wake up at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,another wake up call for
52f9f847-6502-49f4-8a14-9c5128dfebb1,,another wake-up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,arrange second call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,backup call to wake me
52f9f847-6502-49f4-8a14-9c5128dfebb1,,backup wake up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,call again at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,call me again at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,call me at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,call me twice
52f9f847-6502-49f4-8a14-9c5128dfebb1,,confirm second wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,,double wake up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,follow up wake up at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,follow-up call to wake up
52f9f847-6502-49f4-8a14-9c5128dfebb1,,follow-up wake up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,follow-up wakeup call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,just in case second wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,,repeat morning call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,repeat wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,,repeat wake-up call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,ring me again
52f9f847-6502-49f4-8a14-9c5128dfebb1,,ring me again at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,schedule second wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,,schedule wakeup
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second alarm call at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second bell at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second call at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second call to wake up at
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second morning call
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second phone call to wake
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second reminder to wake
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second ring to wake
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second shift wake-up
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second time call needed
52f9f847-6502-49f4-8a14-9c5128dfebb1,,second time wake me up
